Sample,TE,All_reads,HQ_reads
SRR11846565,rnd-1_family-13_jockey,6.54,0.23
SRR11846565,rnd-1_family-1_copia,15.64,7.02
SRR11846565,rnd-1_family-85_gypsy,13.45,8.39
SRR11846565,rnd-5_family-560_Pao,13.24,9.07
SRR11846565,roo,127.29,106.95
SRR11846565,rooA,11.73,8.39
SRR11846565,rover,12.50,9.80
SRR11846565,Rt1a,20.21,17.60
SRR11846565,Rt1b,47.65,41.91
SRR11846565,S-element,43.38,21.37
SRR11846565,S2,6.68,4.43
SRR11846565,springer,21.27,17.76
SRR11846565,Stalker,25.40,2.43
SRR11846565,Stalker2,6.99,4.08
SRR11846565,Stalker4,31.84,1.32
SRR11846565,Tabor,9.73,7.91
SRR11846565,TAHRE,5.63,4.45
SRR11846565,TART-A,4.74,2.96
SRR11846565,TART-B,0.44,0.06
SRR11846565,TART-C,0.37,0.09
SRR11846565,Tc1-2,14.81,12.51
SRR11846565,Tc1_DM,20.10,17.18
SRR11846565,Tc3,2.02,0.41
SRR11846565,Tirant,6.85,4.96
SRR11846565,Tom,4.37,2.59
SRR11846565,transib1,3.69,3.25
SRR11846565,Transib2,16.38,13.74
SRR11846565,transib3,6.53,5.17
SRR11846565,transib4,2.69,1.97
SRR11846565,Transib5,6.11,5.09
SRR11846565,Transpac,16.20,14.24
SRR11846565,X-element,15.45,5.02
SRR11846565,ZAM,5.30,4.17
Sample,TE,All_reads,HQ_reads
SRR23876562,1360,88.95,40.36
SRR23876562,6,34.42,18.99
SRR23876562,1731,10.47,5.14
SRR23876562,297,65.84,35.88
SRR23876562,412,1.41,0.04
SRR23876562,accord,8.66,4.56
SRR23876562,accord2,5.66,2.43
SRR23876562,Baggins1,20.97,8.42
SRR23876562,Bari1,51.95,33.43
SRR23876562,Bari2,3.19,1.31
SRR23876562,BEL,8.57,3.91
SRR23876562,Bica,10.60,5.59
SRR23876562,blood,4.09,2.23
SRR23876562,BS,15.29,4.73
SRR23876562,BS2,6.67,0.32
SRR23876562,BS3,7.19,2.25
SRR23876562,BS4,1.14,0.55
SRR23876562,Burdock,15.89,8.72
SRR23876562,Chimpo,6.80,3.19
SRR23876562,Chouto,6.53,2.75
SRR23876562,Circe,22.31,10.95
SRR23876562,copia,66.78,40.08
SRR23876562,copia2,9.03,0.05
SRR23876562,diver,13.25,5.72
SRR23876562,diver2,11.19,3.49
SRR23876562,Dm88,10.19,0.03
SRR23876562,dmel_Antennapedia,1.07,0.64
SRR23876562,dmel_Osi6,1.04,0.64
SRR23876562,dmel_wingless,0.93,0.55
SRR23876562,DMRT1A,78.98,36.23
SRR23876562,DMRT1C,3.01,0.94
SRR23876562,DNAREP1,133.15,16.98
SRR23876562,DNAREP1-like,6.01,0.29
SRR23876562,Doc,66.96,37.92
SRR23876562,Doc2,17.64,9.17
SRR23876562,Doc3,22.85,10.31
SRR23876562,Doc4,3.80,1.36
SRR23876562,Doc5,11.11,5.21
SRR23876562,F-element,106.11,22.29
SRR23876562,family-0_Copia-like,6.75,1.75
SRR23876562,family-0_MULE-NOF,1896.55,683.40
SRR23876562,family-100_HMS-beagle,2.97,1.74
SRR23876562,family-105_gypsy,1.23,0.76
SRR23876562,family-110_gypsy_SAP,21.09,11.47
SRR23876562,family-1124_gypsy-frag,2.15,1.11
SRR23876562,family-113_micropia-like,1.46,0.81
SRR23876562,family-117_gypsy,18.10,5.04
SRR23876562,family-1205_Tc3,2.35,0.15
SRR23876562,family-134_gypsy,11.28,3.60
SRR23876562,family-139_FW2-like,38.20,2.35
SRR23876562,family-1439_Tc3,2.94,0.64
SRR23876562,family-149_HMS-beagle,2.67,1.29
SRR23876562,family-15_G-like,9.61,0.20
SRR23876562,family-2202_Pao,3.55,0.87
SRR23876562,family-2226_Tc1-like,4.31,0.89
SRR23876562,family-2266_Blastopia-like,1.00,0.44
SRR23876562,family-252_hAT_BEDzf,23.34,12.34
SRR23876562,family-325_gypsy,2.84,1.45
SRR23876562,family-358_hAT,2.28,1.08
SRR23876562,family-3655_gypsy,1.78,1.03
SRR23876562,family-3830_accord-like,1.10,0.51
SRR23876562,family-4408_gypsy,3.39,0.56
SRR23876562,family-447_HETA-like,4.04,0.97
SRR23876562,family-4955_hAT,6.73,3.06
SRR23876562,family-49_Tc3,4.70,2.97
SRR23876562,family-5171_Pao,2.07,1.00
SRR23876562,family-53_gypsy_truncated,19.10,3.89
SRR23876562,family-58_micropia-like,1.45,0.82
SRR23876562,family-6086_diver,3.97,1.00
SRR23876562,family-63_micropia-like,10.20,5.62
SRR23876562,family-70_diver-like,13.22,0.85
SRR23876562,family-70_Diver2-like,3.13,1.04
SRR23876562,family-7121_ninja-like,3.70,0.86
SRR23876562,family-732_gypsy,3.81,2.16
SRR23876562,family-92_copia-like,1.74,1.05
SRR23876562,family-966_Pao,1.97,0.32
SRR23876562,family-999_gypsy,1.38,0.63
SRR23876562,FB,96.51,28.38
SRR23876562,flea,22.77,12.79
SRR23876562,frogger,3.28,1.52
SRR23876562,Fw2,2.82,1.26
SRR23876562,Fw3,2.07,0.86
SRR23876562,G-element,6.11,1.72
SRR23876562,G2,12.88,5.22
SRR23876562,G3,1.44,0.64
SRR23876562,G4,10.49,5.34
SRR23876562,G5,5.39,2.08
SRR23876562,G5A,6.28,2.44
SRR23876562,G6,11.06,5.28
SRR23876562,GATE,14.25,6.01
SRR23876562,Gedeo_Dmel,2.53,0.75
SRR23876562,gtwin,1.90,0.75
SRR23876562,gypsy,5.45,2.19
SRR23876562,gypsy10,1.90,0.52
SRR23876562,gypsy11,1.69,0.66
SRR23876562,gypsy12,3.05,0.65
SRR23876562,gypsy12A,4.30,0.83
SRR23876562,gypsy2,7.04,2.96
SRR23876562,gypsy2S,10.45,4.69
SRR23876562,gypsy3,3.75,1.34
SRR23876562,gypsy4,24.50,13.02
SRR23876562,gypsy5,4.51,2.39
SRR23876562,gypsy6,5.18,1.06
SRR23876562,gypsy7,6.16,2.97
SRR23876562,gypsy8,2.51,0.52
SRR23876562,gypsy9,1.37,0.61
SRR23876562,HB,14.40,5.54
SRR23876562,Helena,4.13,1.70
