Sample,TE,All_reads,HQ_reads
Sample,TE,All_reads,HQ_reads
SRR5860666,412,21.37,15.57
SRR5860666,BLOOD,6.55,5.60
SRR5860666,DMHFL1,8.55,6.81
SRR5860666,DMIFACA,27.82,24.72
SRR5860666,micropia,0.16,0.01
SRR5860666,OPUS,13.16,10.72
SRR5860666,PPI251,0.00,0.00
SRR5860666,Shellder,10.47,9.24
SRR5860666,Souslik,5.07,4.56
SRR5860666,spoink,25.54,20.50
SRR5860666,TIRANT,10.18,8.35
SRR5860666,Transib1,13.49,12.51
Sample,TE,All_reads,HQ_reads
SRR5860667,412,21.68,15.89
SRR5860667,BLOOD,6.81,5.84
SRR5860667,DMHFL1,8.01,6.36
SRR5860667,DMIFACA,27.72,24.72
SRR5860667,micropia,0.11,0.00
SRR5860667,OPUS,12.42,10.10
SRR5860667,PPI251,0.00,0.00
SRR5860667,Shellder,9.36,8.29
SRR5860667,Souslik,4.81,4.36
SRR5860667,spoink,23.38,19.31
SRR5860667,TIRANT,9.83,8.11
SRR5860667,Transib1,14.10,12.97
Sample,TE,All_reads,HQ_reads
SRR5860668,412,36.96,28.15
SRR5860668,BLOOD,11.27,9.78
SRR5860668,DMHFL1,10.56,8.99
SRR5860668,DMIFACA,29.52,27.67
SRR5860668,micropia,0.20,0.02
SRR5860668,OPUS,19.48,15.72
SRR5860668,PPI251,0.05,0.05
SRR5860668,Shellder,15.63,13.69
SRR5860668,Souslik,5.59,5.07
SRR5860668,spoink,27.85,23.35
SRR5860668,TIRANT,10.67,9.18
SRR5860668,Transib1,18.69,17.73
Sample,TE,All_reads,HQ_reads
SRR5860669,412,47.96,36.88
SRR5860669,BLOOD,12.80,10.97
SRR5860669,DMHFL1,9.28,7.88
SRR5860669,DMIFACA,29.77,27.98
SRR5860669,micropia,0.20,0.02
SRR5860669,OPUS,21.30,17.24
SRR5860669,PPI251,0.00,0.00
SRR5860669,Shellder,6.71,5.98
SRR5860669,Souslik,5.42,4.93
SRR5860669,spoink,30.11,24.98
SRR5860669,TIRANT,14.03,12.16
SRR5860669,Transib1,18.35,17.61
Sample,TE,All_reads,HQ_reads
SRR5860670,412,47.22,36.57
SRR5860670,BLOOD,12.40,10.61
SRR5860670,DMHFL1,10.24,8.65
SRR5860670,DMIFACA,30.34,28.42
SRR5860670,micropia,0.24,0.02
SRR5860670,OPUS,22.54,17.78
