Sample,TE,All_reads,HQ_reads
ERR9439680,dsim_Antennapedia,0.99,0.97
ERR9439680,micropia,0.02,0.00
ERR9439680,OPUS,13.15,10.52
ERR9439680,PPI251,11.62,11.44
ERR9439680,Shellder,10.45,8.87
ERR9439680,Souslik,5.48,4.97
ERR9439680,spoink,6.70,5.25
ERR9439680,TIRANT,1.89,1.27
ERR9439680,Transib1,13.43,12.22
Sample,TE,All_reads,HQ_reads
ERR9452532,412,15.02,11.64
ERR9452532,BLOOD,6.68,6.00
ERR9452532,DMHFL1,30.26,27.44
ERR9452532,DMIFACA,28.00,26.42
ERR9452532,dsim_Antennapedia,0.96,0.93
ERR9452532,micropia,0.06,0.00
ERR9452532,OPUS,7.32,5.82
ERR9452532,PPI251,18.05,17.83
ERR9452532,Shellder,10.85,9.42
ERR9452532,Souslik,3.88,3.53
ERR9452532,spoink,11.13,9.10
ERR9452532,TIRANT,1.87,1.24
ERR9452532,Transib1,13.04,11.97
Sample,TE,All_reads,HQ_reads
ERR9452541,412,17.64,14.07
ERR9452541,BLOOD,6.99,6.30
ERR9452541,DMHFL1,27.88,25.00
ERR9452541,DMIFACA,23.21,21.68
ERR9452541,dsim_Antennapedia,0.98,0.95
ERR9452541,micropia,0.06,0.00
ERR9452541,OPUS,33.37,27.43
ERR9452541,PPI251,10.88,10.74
ERR9452541,Shellder,12.14,10.51
ERR9452541,Souslik,4.05,3.61
ERR9452541,spoink,17.53,14.50
ERR9452541,TIRANT,1.84,1.22
ERR9452541,Transib1,14.07,13.00
Sample,TE,All_reads,HQ_reads
ERR9452754,412,18.68,14.98
ERR9452754,BLOOD,6.85,6.13
ERR9452754,DMHFL1,29.56,26.57
ERR9452754,DMIFACA,21.45,19.86
ERR9452754,dsim_Antennapedia,0.99,0.98
ERR9452754,micropia,0.03,0.00
ERR9452754,OPUS,6.23,4.94
ERR9452754,PPI251,16.54,16.32
ERR9452754,Shellder,6.24,5.34
ERR9452754,Souslik,4.74,4.32
ERR9452754,spoink,14.34,11.73
ERR9452754,TIRANT,1.87,1.24
ERR9452754,Transib1,15.53,14.43
Sample,TE,All_reads,HQ_reads
ERR9453536,412,24.27,19.08
ERR9453536,BLOOD,6.96,6.14
ERR9453536,DMHFL1,27.14,24.21
ERR9453536,DMIFACA,28.26,26.61
ERR9453536,dsim_Antennapedia,0.98,0.96
ERR9453536,micropia,0.07,0.00
ERR9453536,OPUS,8.07,6.25
ERR9453536,PPI251,16.59,16.38
ERR9453536,Shellder,10.32,8.68
ERR9453536,Souslik,5.57,4.94
ERR9453536,spoink,19.06,15.56
ERR9453536,TIRANT,2.31,1.53
ERR9453536,Transib1,15.08,13.86
Sample,TE,All_reads,HQ_reads
SRR11456750,412,17.40,13.35
SRR11456750,BLOOD,6.33,5.53
SRR11456750,DMHFL1,28.73,26.59
SRR11456750,DMIFACA,27.70,26.10
SRR11456750,dsim_Antennapedia,0.90,0.88
SRR11456750,micropia,0.05,0.02
SRR11456750,OPUS,6.73,4.05
SRR11456750,PPI251,11.94,11.71
SRR11456750,Shellder,10.77,9.31
SRR11456750,Souslik,9.31,8.43
SRR11456750,spoink,21.50,16.74
SRR11456750,TIRANT,6.09,4.89
SRR11456750,Transib1,15.28,14.19
Sample,TE,All_reads,HQ_reads
SRR11456751,412,16.91,13.24
SRR11456751,BLOOD,8.55,7.64
SRR11456751,DMHFL1,27.35,25.05
SRR11456751,DMIFACA,18.81,17.31
SRR11456751,dsim_Antennapedia,0.93,0.91
SRR11456751,micropia,0.07,0.04
SRR11456751,OPUS,7.94,4.04
SRR11456751,PPI251,9.49,9.29
SRR11456751,Shellder,12.67,11.01
SRR11456751,Souslik,3.37,2.99
SRR11456751,spoink,21.40,15.67
SRR11456751,TIRANT,2.51,1.70
SRR11456751,Transib1,12.44,11.37
Sample,TE,All_reads,HQ_reads
SRR11456752,412,16.98,13.13
SRR11456752,BLOOD,7.22,6.42
SRR11456752,DMHFL1,28.15,25.79
SRR11456752,DMIFACA,24.75,22.95
SRR11456752,dsim_Antennapedia,0.97,0.96
SRR11456752,micropia,0.06,0.00
SRR11456752,OPUS,9.54,6.15
SRR11456752,PPI251,11.74,11.54
SRR11456752,Shellder,11.95,10.34
SRR11456752,Souslik,3.63,3.18
SRR11456752,spoink,14.06,10.13
SRR11456752,TIRANT,2.76,1.95
SRR11456752,Transib1,15.71,14.50
Sample,TE,All_reads,HQ_reads
SRR11456753,412,12.08,9.05
SRR11456753,BLOOD,5.82,5.14
SRR11456753,DMHFL1,29.94,27.74
SRR11456753,DMIFACA,23.11,21.43
SRR11456753,dsim_Antennapedia,0.96,0.94
SRR11456753,micropia,0.06,0.03
SRR11456753,OPUS,6.69,4.01
SRR11456753,PPI251,9.48,9.28
SRR11456753,Shellder,9.70,8.37
SRR11456753,Souslik,4.87,4.37
SRR11456753,spoink,17.75,13.26
SRR11456753,TIRANT,3.17,2.30
SRR11456753,Transib1,15.83,14.74
Sample,TE,All_reads,HQ_reads
SRR11456760,412,17.23,13.22
SRR11456760,BLOOD,7.85,6.97
SRR11456760,DMHFL1,29.57,27.27
SRR11456760,DMIFACA,20.43,18.79
SRR11456760,dsim_Antennapedia,0.95,0.92
SRR11456760,micropia,0.05,0.03
SRR11456760,OPUS,7.36,4.16
SRR11456760,PPI251,11.04,10.85
SRR11456760,Shellder,11.57,9.99
SRR11456760,Souslik,15.15,13.93
SRR11456760,spoink,14.30,10.07
SRR11456760,TIRANT,2.61,1.73
SRR11456760,Transib1,12.28,11.24
Sample,TE,All_reads,HQ_reads
SRR11456771,412,16.11,12.33
SRR11456771,BLOOD,7.73,6.90
SRR11456771,DMHFL1,34.44,32.53
SRR11456771,DMIFACA,21.04,19.13
SRR11456771,dsim_Antennapedia,1.08,1.05
SRR11456771,micropia,0.07,0.04
SRR11456771,OPUS,6.34,4.73
SRR11456771,PPI251,12.21,11.86
SRR11456771,Shellder,10.22,8.84
SRR11456771,Souslik,7.71,7.10
SRR11456771,spoink,9.58,7.34
SRR11456771,TIRANT,4.53,3.53
SRR11456771,Transib1,12.74,11.42
Sample,TE,All_reads,HQ_reads
SRR11456778,412,13.85,10.50
SRR11456778,BLOOD,8.78,7.80
SRR11456778,DMHFL1,29.61,27.44
SRR11456778,DMIFACA,18.82,17.29
SRR11456778,dsim_Antennapedia,0.93,0.91
SRR11456778,micropia,0.04,0.01
SRR11456778,OPUS,11.39,6.20
SRR11456778,PPI251,12.67,12.42
SRR11456778,Shellder,12.50,10.79
SRR11456778,Souslik,2.32,2.02
SRR11456778,spoink,16.08,10.43
SRR11456778,TIRANT,3.75,2.71
SRR11456778,Transib1,14.99,13.92
Sample,TE,All_reads,HQ_reads
SRR11456787,412,12.92,9.55
SRR11456787,BLOOD,6.97,6.10
SRR11456787,DMHFL1,33.53,30.98
SRR11456787,DMIFACA,20.89,19.23
SRR11456787,dsim_Antennapedia,0.97,0.94
SRR11456787,micropia,0.04,0.02
SRR11456787,OPUS,9.88,4.78
SRR11456787,PPI251,11.15,10.89
SRR11456787,Shellder,14.19,12.20
SRR11456787,Souslik,2.85,2.51
SRR11456787,spoink,22.54,15.43
SRR11456787,TIRANT,2.03,1.32
SRR11456787,Transib1,13.39,12.15
Sample,TE,All_reads,HQ_reads
SRR11456788,412,18.25,14.31
SRR11456788,BLOOD,8.93,7.91
SRR11456788,DMHFL1,30.61,28.32
SRR11456788,DMIFACA,20.89,19.28
SRR11456788,dsim_Antennapedia,0.95,0.92
SRR11456788,micropia,0.03,0.01
SRR11456788,OPUS,10.28,6.42
SRR11456788,PPI251,10.25,10.04
SRR11456788,Shellder,8.98,7.76
SRR11456788,Souslik,4.71,4.18
SRR11456788,spoink,15.42,10.81
SRR11456788,TIRANT,4.09,2.97
SRR11456788,Transib1,17.80,16.49
Sample,TE,All_reads,HQ_reads
SRR11456789,412,13.97,10.52
SRR11456789,BLOOD,6.45,5.73
SRR11456789,DMHFL1,30.74,28.65
SRR11456789,DMIFACA,19.99,18.31
SRR11456789,dsim_Antennapedia,0.93,0.90
SRR11456789,micropia,0.05,0.03
SRR11456789,OPUS,8.37,4.82
SRR11456789,PPI251,10.48,10.26
SRR11456789,Shellder,10.09,8.72
SRR11456789,Souslik,3.76,3.31
SRR11456789,spoink,21.55,16.34
SRR11456789,TIRANT,2.60,1.80
SRR11456789,Transib1,15.24,14.13
Sample,TE,All_reads,HQ_reads
SRR11456790,412,14.98,11.44
SRR11456790,BLOOD,11.58,10.28
SRR11456790,DMHFL1,28.20,25.36
SRR11456790,DMIFACA,21.21,19.46
SRR11456790,dsim_Antennapedia,0.96,0.93
SRR11456790,micropia,0.04,0.01
SRR11456790,OPUS,12.42,8.40
SRR11456790,PPI251,13.42,13.25
SRR11456790,Shellder,12.41,10.80
SRR11456790,Souslik,7.19,6.53
SRR11456790,spoink,18.77,13.93
SRR11456790,TIRANT,3.16,2.26
SRR11456790,Transib1,13.18,12.13
Sample,TE,All_reads,HQ_reads
SRR11456791,412,17.65,13.76
SRR11456791,BLOOD,8.38,7.44
SRR11456791,DMHFL1,33.62,31.35
SRR11456791,DMIFACA,23.48,21.71
SRR11456791,dsim_Antennapedia,0.98,0.95
SRR11456791,micropia,0.02,0.00
SRR11456791,OPUS,9.25,5.26
SRR11456791,PPI251,11.87,11.61
SRR11456791,Shellder,10.85,9.39
SRR11456791,Souslik,5.97,5.39
SRR11456791,spoink,18.30,13.23
SRR11456791,TIRANT,2.28,1.58
SRR11456791,Transib1,15.13,13.97
Sample,TE,All_reads,HQ_reads
SRR11456792,412,16.55,12.87
SRR11456792,BLOOD,6.35,5.59
SRR11456792,DMHFL1,31.84,29.04
SRR11456792,DMIFACA,20.34,18.70
SRR11456792,dsim_Antennapedia,0.94,0.92
SRR11456792,micropia,0.05,0.01
SRR11456792,OPUS,8.83,4.79
SRR11456792,PPI251,8.22,8.07
SRR11456792,Shellder,10.70,9.28
SRR11456792,Souslik,5.94,5.37
SRR11456792,spoink,17.96,12.84
SRR11456792,TIRANT,2.71,1.89
SRR11456792,Transib1,18.22,16.95
Sample,TE,All_reads,HQ_reads
SRR11456793,412,12.71,9.38
SRR11456793,BLOOD,8.34,7.38
SRR11456793,DMHFL1,27.65,25.40
SRR11456793,DMIFACA,26.07,24.29
SRR11456793,dsim_Antennapedia,0.99,0.97
SRR11456793,micropia,0.04,0.01
SRR11456793,OPUS,9.13,5.40
SRR11456793,PPI251,8.53,8.35
SRR11456793,Shellder,10.26,8.86
SRR11456793,Souslik,4.98,4.46
SRR11456793,spoink,22.45,17.17
SRR11456793,TIRANT,3.37,2.48
SRR11456793,Transib1,17.37,16.15
Sample,TE,All_reads,HQ_reads
SRR11456794,412,14.63,11.08
SRR11456794,BLOOD,5.20,4.57
SRR11456794,DMHFL1,32.45,29.87
SRR11456794,DMIFACA,18.10,16.63
SRR11456794,dsim_Antennapedia,0.95,0.93
SRR11456794,micropia,0.05,0.04
SRR11456794,OPUS,8.19,5.03
SRR11456794,PPI251,10.54,10.29
SRR11456794,Shellder,12.73,11.13
SRR11456794,Souslik,6.20,5.60
SRR11456794,spoink,16.54,12.07
SRR11456794,TIRANT,4.58,3.52
SRR11456794,Transib1,13.30,12.35
