#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:D_mel_TE_RVT_protein" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:D_mel_TE_RVT_protein" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:D_mel_TE_RVT_protein" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.D_mel_TE_RVT_protein" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:D_mel_TE_RVT_protein" name="distribution" x="@birthRate.t:D_mel_TE_RVT_protein">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@D_mel_TE_RVT_protein" id="treeLikelihood.D_mel_TE_RVT_protein" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:D_mel_TE_RVT_protein">
#            <siteModel id="SiteModel.s:D_mel_TE_RVT_protein" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:D_mel_TE_RVT_protein" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:D_mel_TE_RVT_protein" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:D_mel_TE_RVT_protein" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Blosum62.s:D_mel_TE_RVT_protein" spec="beast.base.evolution.substitutionmodel.Blosum62"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:D_mel_TE_RVT_protein" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:D_mel_TE_RVT_protein" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
91000	-4762.843618157413	-4754.601812280961	-8.241805876452187	-4754.601812280961	1.7122208175615459	9.279020254949183	-8.241805876452187	1.511631822514501
92000	-4772.55526914274	-4763.752109946923	-8.803159195816662	-4763.752109946923	1.6059307853760152	8.782608133570571	-8.803159195816662	2.3936979926142445
93000	-4765.709682198279	-4756.44401059146	-9.265671606818632	-4756.44401059146	1.6084567475424871	8.506333490704947	-9.265671606818632	2.7604136823909564
94000	-4760.433385319298	-4752.830865956044	-7.602519363254445	-4752.830865956044	1.571740416069666	8.699404116895051	-7.602519363254445	1.316795997149093
95000	-4763.985925386239	-4755.357472740032	-8.628452646206735	-4755.357472740032	1.5432583581834032	8.72239558932087	-8.628452646206735	2.3830093874861045
96000	-4759.587086240341	-4752.1864488978335	-7.400637342506962	-4752.1864488978335	1.5466745421926456	8.609704236347635	-7.400637342506962	1.921935230536941
97000	-4771.8436251019075	-4764.414472999683	-7.429152102224372	-4764.414472999683	1.590720984659638	8.735314888916985	-7.429152102224372	1.7147728756321545
98000	-4764.511450372254	-4757.391048631699	-7.120401740555346	-4757.391048631699	1.4646541014886612	8.497868674063826	-7.120401740555346	1.4496702756703312
99000	-4762.008487643154	-4754.029250706274	-7.97923693687947	-4754.029250706274	1.6536683770248517	9.10377213536146	-7.97923693687947	1.499608943055974
100000	-4761.752201747073	-4754.219665390735	-7.532536356337566	-4754.219665390735	1.5877724532442676	8.693313046640744	-7.532536356337566	1.90090150649091
101000	-4764.869464164154	-4757.451194947118	-7.4182692170363325	-4757.451194947118	1.3576676348305565	8.209257425502333	-7.4182692170363325	1.1669538626186706
102000	-4772.308524362066	-4763.941220420411	-8.367303941655234	-4763.941220420411	1.653817215613245	9.346203882750913	-8.367303941655234	1.4110144440998789
103000	-4767.390363171476	-4759.359201059697	-8.031162111778745	-4759.359201059697	1.4623532759166804	8.576025760699046	-8.031162111778745	2.2866593366401955
104000	-4764.14210990724	-4755.692515475967	-8.449594431273141	-4755.692515475967	1.6691706942657363	9.029054297212657	-8.449594431273141	2.045342290430302
105000	-4759.987863595348	-4753.395092917313	-6.592770678035161	-4753.395092917313	1.4817200968294277	8.216952602331096	-6.592770678035161	1.560097584776174
106000	-4762.996537861195	-4753.608527742884	-9.388010118311298	-4753.608527742884	1.5630434100606585	8.681706744263911	-9.388010118311298	2.6574344030595958
107000	-4763.8410993478155	-4756.515868601024	-7.3252307467923	-4756.515868601024	1.6789902676656647	8.68683915065735	-7.3252307467923	1.562266240299575
108000	-4762.206868804088	-4754.695272679066	-7.511596125022294	-4754.695272679066	1.5413460843804307	8.803986585687385	-7.511596125022294	1.6353193236244505
109000	-4759.770671193006	-4752.523788727225	-7.246882465780741	-4752.523788727225	1.5244289231832147	8.353508160511879	-7.246882465780741	2.151837578800584
110000	-4767.625006347661	-4759.718864905232	-7.906141442428728	-4759.718864905232	1.6546294971211069	8.955015263868406	-7.906141442428728	1.3374739985084063
111000	-4772.249169841126	-4762.914078550227	-9.335091290898943	-4762.914078550227	1.5049678595295113	8.758518434116603	-9.335091290898943	0.9033424606561887
112000	-4765.50202996643	-4757.114686565735	-8.387343400695453	-4757.114686565735	1.6433682426058893	9.061745223851242	-8.387343400695453	1.9842248602099193
113000	-4768.849915110944	-4761.476876028951	-7.373039081993014	-4761.476876028951	1.574888585486518	8.708368744668501	-7.373039081993014	1.6948046677683801
114000	-4765.718704481617	-4758.390127309652	-7.328577171965502	-4758.390127309652	1.6446510260799991	8.655079392093063	-7.328577171965502	1.4708266504492888
115000	-4764.122256113222	-4755.765153191412	-8.357102921809952	-4755.765153191412	1.4661116985256513	8.37324956562781	-8.357102921809952	2.5878408365073775
116000	-4766.697932013624	-4756.710365029663	-9.987566983961049	-4756.710365029663	2.0103916320010167	9.719470429277564	-9.987566983961049	2.0880683699193385
117000	-4759.237104769397	-4751.772255029598	-7.46484973979814	-4751.772255029598	1.5622425454574407	8.640666333582987	-7.46484973979814	1.3491837195993246
118000	-4763.218720018759	-4755.236862717429	-7.981857301329891	-4755.236862717429	1.6277902517750356	9.0311656013833	-7.981857301329891	1.35666207148714
119000	-4765.489420511844	-4757.585130622156	-7.904289889688439	-4757.585130622156	1.6467460634940232	9.023780679992916	-7.904289889688439	1.4203386162589904
120000	-4766.037170834859	-4759.749316134599	-6.287854700260071	-4759.749316134599	1.2925750526617341	7.857808996170979	-6.287854700260071	2.2255276377842637
121000	-4766.029594735109	-4758.64640499048	-7.383189744628665	-4758.64640499048	1.4582999712540474	8.662473639696092	-7.383189744628665	1.82123229224728
122000	-4770.242308643948	-4761.822273494777	-8.420035149171204	-4761.822273494777	1.6509338308813173	9.385193194234722	-8.420035149171204	1.4153937250501625
